[2019-09-20 16:12:15,717][MainThread:13808][task_id:__main__][logging配置文件.py:78][INFO][It works!]
[2019-09-20 16:20:01,514][MainThread:17016][task_id:logging配置文件][logging配置文件.py:78][INFO][It works!]
[2019-09-20 16:20:01,514][MainThread:17016][task_id:__main__][logging使用.py:16][DEBUG][start range... time:1568967601.5145369]
[2019-09-20 16:20:01,514][MainThread:17016][task_id:__main__][logging使用.py:17][INFO][中文测试开始。。。]
[2019-09-20 16:20:01,514][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:0]
[2019-09-20 16:20:01,715][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:1]
[2019-09-20 16:20:01,915][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:2]
[2019-09-20 16:20:02,115][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:3]
[2019-09-20 16:20:02,316][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:4]
[2019-09-20 16:20:02,516][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:5]
[2019-09-20 16:20:02,717][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:6]
[2019-09-20 16:20:02,917][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:7]
[2019-09-20 16:20:03,118][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:8]
[2019-09-20 16:20:03,318][MainThread:17016][task_id:__main__][logging使用.py:19][DEBUG][i:9]
[2019-09-20 16:20:03,519][MainThread:17016][task_id:__main__][logging使用.py:22][DEBUG][over range... time:1568967603.5191448]
[2019-09-20 16:20:03,519][MainThread:17016][task_id:__main__][logging使用.py:23][INFO][中文测试结束。。。]
